timestamp,country,search_query,source_url,data_quality_rating,notes
2026-05-13T12:23:31.126549,Morocco,Morocco mini-grid solar deployment projects MW connections,https://en.wikipedia.org/wiki/Ouarzazate_Solar_Power_Station,1,From full page fetch
2026-05-13T12:23:35.641402,Morocco,Morocco mini-grid solar deployment projects MW connections,https://en.wikipedia.org/wiki/Renewable_energy_in_Morocco,1,From full page fetch
2026-05-13T12:23:50.638049,Morocco,Morocco off-grid electrification rural energy access report,https://africa-energy-portal.org/reports/drei-grid-electrification-2018,1,From full page fetch
2026-05-13T12:25:28.213374,Morocco,Morocco mini-grid private developer BBOXX Engie PowerGen Ignite,https://www.renewableenergymagazine.com/panorama/bboxx-partners-with-orange-to-connect-150-20220701,1,From full page fetch
2026-05-13T13:17:07.708347,Morocco,Morocco mini-grid solar deployment projects MW connections,https://renewafrica.biz/news/solar/uaes-amea-power-awarded-two-solar-tenders-in-morocco-totaling-72mw/,1,From full page fetch
2026-05-13T13:17:23.583373,Morocco,Morocco off-grid electrification rural energy access report,https://www.atalayar.com/en/articulo/economy-and-business/rural-electrification-in-morocco-reaches-9989/20241117080000207645.html,1,From full page fetch
2026-05-13T13:17:28.322638,Morocco,Morocco off-grid electrification rural energy access report,https://www.moroccoworldnews.com/2024/11/12501/onee-morocco-achieves-99-89-rural-electrification/,1,From full page fetch
2026-05-13T13:18:57.589642,Morocco,Morocco mini-grid private developer BBOXX Engie PowerGen Ignite,https://www.miga.org/project/engies-mini-grid-projects,2,From search snippets
2026-05-13T13:19:00.212062,Morocco,Morocco mini-grid private developer BBOXX Engie PowerGen Ignite,https://www.miga.org/project/engies-mini-grid-projects,1,From full page fetch
2026-05-26T17:00:27.445155,Senegal,Senegal mini-grid solar deployment projects MW connections,https://350africa.org/files/2020/07/Senegal.pdf,2,From search snippets
2026-05-26T17:00:49.992648,Senegal,Senegal mini-grid solar deployment projects MW connections,https://www.pv-magazine.com/2023/06/01/german-developer-moves-forward-with-minigrid-project-in-senegal/,1,From full page fetch
2026-05-26T17:04:59.997877,Senegal,Senegal mini-grid private developer BBOXX Engie PowerGen Ignite,https://www.bboxx.com/news/bboxx-partners-with-major-telecommunications-operator-orange-to-connect-150-000-people-in-drc-to-an-innovative-mini-grid-model/,2,From search snippets
2026-05-26T17:05:02.132033,Senegal,Senegal mini-grid private developer BBOXX Engie PowerGen Ignite,https://www.bboxx.com/news/bboxx-partners-with-major-telecommunications-operator-orange-to-connect-150-000-people-in-drc-to-an-innovative-mini-grid-model/,1,From full page fetch
2026-05-26T17:05:05.610935,Senegal,Senegal mini-grid private developer BBOXX Engie PowerGen Ignite,https://cleantechnica.com/2022/09/30/crossboundary-energy-access-engie-energy-access-sign-largest-mini-grid-project-finance-transaction-in-africa-to-build-60m-of-mini-grids-in-nigeria/,1,From full page fetch
