country,project_name,developer_operator,capacity_kw,num_connections,location,year_commissioned,technology_type,source_url,data_quality_rating,notes,extraction_timestamp
Morocco,Bukavu Mini-Grid Project,Bboxx,,600,"Bukavu, Sud Kivu, Democratic Republic of Congo",2022,hybrid,https://www.renewableenergymagazine.com/panorama/bboxx-partners-with-orange-to-connect-150-20220701,3,"Part of Bboxx's Connected Community program, 85% of energy generated through solar panels",2026-05-13T12:25:39.808852
Morocco,Comprehensive Rural Electrification Programme (PERG),ONEE,,2160000,Morocco,,Unknown,https://www.atalayar.com/en/articulo/economy-and-business/rural-electrification-in-morocco-reaches-9989/20241117080000207645.html,2,"National initiative launched in 1996, connected 41,922 villages to the grid",2026-05-13T13:19:11.338725
Morocco,Solar kits project,"ONEE, INDH",,70000,Remote regions of Morocco,,solar,https://www.atalayar.com/en/articulo/economy-and-business/rural-electrification-in-morocco-reaches-9989/20241117080000207645.html,2,"Partnership between ONEE and INDH, equipped households with solar kits between 1998 and 2018",2026-05-13T13:19:11.340089
Morocco,Bboxx EDF Togo,Bboxx and EDF,,,Togo,,solar,https://www.miga.org/project/engies-mini-grid-projects,2,No specific capacity or connection details mentioned,2026-05-13T13:19:11.341070
Morocco,Lolwe Project,Engie Energy Services,600,,"Lolwe Sub-County, Namayingo District, Lake Victoria",,solar,https://www.miga.org/project/engies-mini-grid-projects,2,Part of a portfolio of 45 mini-grid projects in Uganda,2026-05-13T13:19:11.342202
Senegal,PERACOD/ERSEN mini-grid,Unknown,,,Senegal,,hybrid,https://350africa.org/files/2020/07/Senegal.pdf,2,solar-diesel,2026-05-26T17:05:10.287902
Senegal,Sine Moussa Abdou ERIL mini-grid,Unknown,,,Senegal,,hybrid,https://350africa.org/files/2020/07/Senegal.pdf,2,wind-solar-diesel,2026-05-26T17:05:10.289643
Senegal,ASER300 project,Asantys Systems GmbH,,24000,Senegal,,solar,https://www.pv-magazine.com/2023/06/01/german-developer-moves-forward-with-minigrid-project-in-senegal/,2,"Includes battery storage, 840 km of low voltage lines, 25,000 poles, and 3,600 LED lights for street lighting",2026-05-26T17:05:10.290681
Senegal,Pilot villages,Asantys Systems GmbH,,,Senegal,2021,solar,https://www.pv-magazine.com/2023/06/01/german-developer-moves-forward-with-minigrid-project-in-senegal/,2,Six pilot villages were supplied in early 2021,2026-05-26T17:05:10.291696
Senegal,Rural solar project,Unknown,,,Nigeria,,solar,https://www.pv-magazine.com/2023/06/01/german-developer-moves-forward-with-minigrid-project-in-senegal/,2,"Government-approved project in 12 locations, mentioned in a comment",2026-05-26T17:05:10.292935
Senegal,Bboxx avec EDF,Bboxx and EDF,,,Togo,,solar,https://www.bboxx.com/news/bboxx-partners-with-major-telecommunications-operator-orange-to-connect-150-000-people-in-drc-to-an-innovative-mini-grid-model/,2,"Implemented by General Electric, combining Bboxx solar home solutions into a micro-grid",2026-05-26T17:05:10.293915
Senegal,Bukavu Mini-Grid,Bboxx and Orange,,600,"Bukavu, Sud Kivu, Democratic Republic of Congo",2022,hybrid,https://www.bboxx.com/news/bboxx-partners-with-major-telecommunications-operator-orange-to-connect-150-000-people-in-drc-to-an-innovative-mini-grid-model/,3,"Part of Bboxx's Connected Community program, 85% of energy generated through solar panels",2026-05-26T17:05:10.294855
